gender,age,occupation,lower_wage,upper_wage,middle_salary
M,62,1,45000,65000,55000
M,34,1,45000,65000,55000
M,34,1,45000,65000,55000
M,57,1,45000,65000,55000
M,31,1,40000,55000,47500
M,51,1,45000,65000,55000
M,57,1,45000,65000,55000
M,33,1,40000,60000,50000
M,48,1,45000,65000,55000
M,47,1,45000,65000,55000
M,47,1,45000,65000,55000
M,46,1,45000,65000,55000
M,48,1,45000,65000,55000
M,30,1,40000,60000,50000
M,62,1,45000,65000,55000
M,27,1,40000,55000,47500
M,62,1,45000,65000,55000
M,32,1,40000,60000,50000
M,26,1,35000,50000,42500
M,52,1,45000,65000,55000
M,40,1,45000,65000,55000
M,28,1,40000,55000,47500
M,28,1,40000,55000,47500
M,50,1,45000,65000,55000
M,56,1,45000,65000,55000
M,48,1,45000,65000,55000
M,56,1,45000,65000,55000
M,47,1,45000,65000,55000
M,65,1,45000,65000,55000
M,57,1,45000,65000,55000
M,47,1,45000,65000,55000
M,34,1,45000,65000,55000
M,28,1,40000,55000,47500
M,44,1,45000,65000,55000
M,53,1,45000,65000,55000
M,62,1,45000,65000,55000
M,31,1,40000,60000,50000
M,37,1,45000,65000,55000
M,45,1,45000,65000,55000
M,64,1,45000,65000,55000
M,26,1,35000,45000,40000
M,59,1,45000,65000,55000
M,39,1,45000,65000,55000
M,43,1,45000,65000,55000
M,64,1,45000,65000,55000
M,46,1,45000,65000,55000
M,42,1,45000,65000,55000
M,60,1,45000,65000,55000
M,35,1,45000,65000,55000
M,38,1,45000,65000,55000
M,52,1,45000,65000,55000
M,51,1,45000,65000,55000
M,36,1,45000,65000,55000
M,51,1,45000,65000,55000
M,36,1,45000,65000,55000
M,63,1,45000,65000,55000
M,60,1,45000,65000,55000
M,46,1,45000,65000,55000
M,45,1,45000,65000,55000
M,48,1,45000,65000,55000
M,46,1,45000,65000,55000
M,33,1,45000,65000,55000
M,37,1,45000,65000,55000
M,30,1,40000,60000,50000
M,34,1,45000,65000,55000
M,33,1,40000,60000,50000
M,50,1,45000,65000,55000
M,65,1,45000,65000,55000
M,54,1,45000,65000,55000
M,41,1,45000,65000,55000
M,25,1,35000,45000,40000
M,58,1,45000,65000,55000
M,54,1,45000,65000,55000
M,56,1,45000,65000,55000
M,47,1,45000,65000,55000
M,53,1,45000,65000,55000
M,60,1,45000,65000,55000
M,35,1,45000,65000,55000
M,61,1,45000,65000,55000
M,27,1,40000,55000,47500
M,32,1,40000,60000,50000
M,63,1,45000,65000,55000
M,29,1,40000,55000,47500
M,52,1,45000,65000,55000
M,51,1,45000,65000,55000
M,52,1,45000,65000,55000
M,54,1,45000,65000,55000
M,32,1,40000,60000,50000
M,64,1,45000,65000,55000
M,38,1,45000,65000,55000
M,50,1,45000,65000,55000
M,46,1,45000,65000,55000
M,55,1,50000,75000,62500
M,31,1,40000,55000,47500
M,52,1,45000,65000,55000
M,28,1,40000,55000,47500
M,57,1,45000,65000,55000
M,38,1,45000,65000,55000
M,57,1,45000,65000,55000
M,52,1,45000,65000,55000
M,41,1,45000,65000,55000
M,64,1,45000,65000,55000
M,49,1,45000,65000,55000
M,29,1,40000,55000,47500
M,31,1,40000,60000,50000
M,52,1,45000,65000,55000
M,53,1,45000,65000,55000
M,47,1,45000,65000,55000
M,42,1,45000,65000,55000
M,43,1,45000,65000,55000
M,33,1,40000,60000,50000
M,58,1,45000,65000,55000
M,61,1,45000,65000,55000
M,48,1,45000,65000,55000
M,62,1,45000,65000,55000
M,55,1,45000,65000,55000
M,42,1,45000,65000,55000
M,57,1,45000,65000,55000
M,58,1,45000,65000,55000
M,30,1,40000,60000,50000
M,60,1,45000,65000,55000
M,53,1,45000,65000,55000
M,53,1,45000,65000,55000
M,48,1,45000,65000,55000
M,48,1,45000,65000,55000
M,37,1,45000,65000,55000
M,56,1,45000,65000,55000
M,63,1,45000,65000,55000
M,45,1,45000,65000,55000
M,54,1,45000,65000,55000
M,55,1,45000,65000,55000
M,58,1,45000,65000,55000
M,51,1,45000,65000,55000
M,59,1,45000,65000,55000
M,54,1,45000,65000,55000
M,25,1,35000,45000,40000
M,46,1,45000,65000,55000
M,52,1,45000,65000,55000
M,37,1,45000,65000,55000
M,57,1,45000,65000,55000
M,51,1,45000,65000,55000
M,25,1,35000,45000,40000
M,39,1,45000,65000,55000
M,52,1,45000,65000,55000
M,53,1,45000,65000,55000
M,36,1,45000,65000,55000
M,37,1,45000,65000,55000
M,43,1,45000,65000,55000
M,62,1,45000,65000,55000
M,54,1,45000,65000,55000
M,30,1,40000,60000,50000
M,41,1,45000,65000,55000
M,45,1,45000,65000,55000
M,33,1,40000,60000,50000
M,55,1,45000,65000,55000
M,26,1,35000,45000,40000
M,36,1,45000,65000,55000
M,49,1,45000,65000,55000
M,34,1,45000,65000,55000
M,55,1,45000,65000,55000
M,47,1,45000,65000,55000
M,38,1,45000,65000,55000
M,37,1,45000,65000,55000
M,40,1,45000,65000,55000
M,47,1,45000,65000,55000
M,59,1,45000,65000,55000
M,26,1,35000,45000,40000
M,65,1,45000,65000,55000
M,36,1,45000,65000,55000
M,60,1,45000,65000,55000
M,41,1,45000,65000,55000
M,34,1,45000,65000,55000
M,63,1,45000,65000,55000
M,55,1,50000,75000,62500
M,40,1,45000,65000,55000
M,52,1,45000,65000,55000
M,43,1,45000,65000,55000
M,43,1,45000,65000,55000
M,35,1,45000,65000,55000
M,65,1,45000,65000,55000
M,37,1,45000,65000,55000
M,37,1,45000,65000,55000
M,33,1,45000,60000,52500
M,36,1,40000,60000,50000
M,45,1,45000,65000,55000
M,64,1,45000,65000,55000
M,34,1,45000,65000,55000
M,47,1,45000,65000,55000
M,61,1,45000,65000,55000
M,62,1,45000,65000,55000
M,55,1,45000,65000,55000
M,46,1,45000,65000,55000
M,30,1,40000,60000,50000
M,60,1,45000,65000,55000
M,51,1,45000,65000,55000
M,51,1,45000,65000,55000
M,54,1,45000,65000,55000
M,50,1,45000,65000,55000
M,49,1,45000,65000,55000
M,65,1,45000,65000,55000
M,33,1,40000,60000,50000
M,31,1,40000,60000,50000
M,26,1,35000,45000,40000
M,38,1,45000,65000,55000
M,32,1,40000,60000,50000
M,29,1,40000,55000,47500
M,50,1,45000,65000,55000
M,40,1,45000,65000,55000
M,42,1,45000,65000,55000
M,48,1,45000,65000,55000
M,35,1,45000,65000,55000
M,33,1,45000,60000,52500
M,58,1,45000,65000,55000
M,65,1,45000,65000,55000
M,39,1,45000,65000,55000
M,25,1,35000,45000,40000
M,51,1,45000,65000,55000
M,30,1,40000,60000,50000
M,46,1,45000,65000,55000
M,42,1,45000,65000,55000
M,31,1,40000,55000,47500
M,27,1,40000,55000,47500
M,28,1,40000,55000,47500
M,56,1,45000,65000,55000
M,42,1,45000,65000,55000
M,51,1,45000,65000,55000
M,39,1,45000,65000,55000
M,59,1,45000,65000,55000
M,33,1,45000,65000,55000
M,26,1,35000,45000,40000
M,27,1,35000,50000,42500
M,59,1,45000,65000,55000
M,65,1,45000,65000,55000
M,65,1,45000,65000,55000
M,31,1,40000,60000,50000
M,34,1,40000,60000,50000
M,63,1,45000,65000,55000
M,29,1,40000,55000,47500
M,34,1,45000,65000,55000
M,53,1,45000,65000,55000
M,48,1,45000,65000,55000
M,31,1,40000,60000,50000
M,52,1,45000,65000,55000
M,32,1,40000,60000,50000
M,55,1,45000,65000,55000
M,46,1,45000,65000,55000
M,40,1,45000,65000,55000
M,64,1,45000,65000,55000
M,42,1,45000,65000,55000
M,39,1,45000,65000,55000
M,59,1,45000,65000,55000
M,27,1,40000,55000,47500
M,55,1,45000,65000,55000
M,64,1,45000,65000,55000
M,28,1,40000,55000,47500
M,60,1,45000,65000,55000
M,25,1,35000,45000,40000
M,36,1,45000,65000,55000
M,64,1,45000,65000,55000
M,56,1,45000,65000,55000
M,33,1,40000,60000,50000
M,44,1,45000,65000,55000
M,58,1,45000,65000,55000
M,32,1,40000,60000,50000
M,43,1,45000,65000,55000
M,41,1,45000,65000,55000
M,52,1,45000,65000,55000
M,40,1,45000,65000,55000
M,33,1,40000,60000,50000
M,57,1,45000,65000,55000
M,53,1,45000,65000,55000
M,62,1,45000,65000,55000
M,64,1,45000,65000,55000
M,57,1,45000,65000,55000
M,27,1,35000,55000,45000
M,58,1,45000,65000,55000
M,60,1,45000,65000,55000
M,65,1,45000,65000,55000
M,28,1,40000,55000,47500
M,63,1,45000,65000,55000
M,26,1,35000,45000,40000
M,44,1,45000,65000,55000
M,45,1,45000,65000,55000
M,46,1,45000,65000,55000
M,30,1,40000,60000,50000
M,32,1,40000,60000,50000
M,48,1,45000,65000,55000
M,65,1,45000,65000,55000
M,61,1,45000,65000,55000
M,48,1,45000,65000,55000
M,35,1,45000,65000,55000
M,51,1,45000,65000,55000
M,60,1,45000,65000,55000
M,49,1,45000,65000,55000
M,42,1,45000,65000,55000
M,26,1,35000,50000,42500
M,47,1,45000,65000,55000
M,48,1,45000,65000,55000
M,65,1,45000,65000,55000
M,28,1,40000,55000,47500
M,35,2,30000,40000,35000
M,25,2,28000,38000,33000
M,50,2,30000,45000,37500
M,27,2,30000,40000,35000
M,53,2,32000,42000,37000
M,35,2,30000,40000,35000
M,41,2,32000,42000,37000
M,40,2,30000,40000,35000
M,42,2,32000,42000,37000
M,44,2,32000,42000,37000
M,63,2,35000,45000,40000
M,65,2,35000,45000,40000
M,45,2,30000,45000,37500
M,43,2,32000,42000,37000
M,28,2,30000,40000,35000
M,30,2,30000,40000,35000
M,55,2,35000,45000,40000
M,26,2,28000,35000,31500
M,51,2,35000,45000,40000
M,26,2,28000,38000,33000
M,31,2,30000,40000,35000
M,63,2,35000,45000,40000
M,27,2,28000,38000,33000
M,46,2,30000,40000,35000
M,53,2,32000,42000,37000
M,59,2,35000,45000,40000
M,54,2,35000,45000,40000
M,65,2,35000,45000,40000
M,37,2,30000,40000,35000
M,63,2,32000,45000,38500
M,50,2,35000,45000,40000
M,53,2,30000,45000,37500
M,54,2,32000,42000,37000
M,26,2,28000,38000,33000
M,58,2,35000,45000,40000
M,57,2,35000,45000,40000
M,28,2,30000,40000,35000
M,45,2,30000,40000,35000
M,56,2,35000,45000,40000
M,28,2,30000,40000,35000
M,64,2,35000,45000,40000
M,65,2,30000,45000,37500
M,27,2,30000,40000,35000
M,54,2,35000,45000,40000
M,51,2,32000,42000,37000
M,65,2,30000,45000,37500
M,35,2,30000,40000,35000
M,59,2,35000,45000,40000
M,60,2,35000,45000,40000
M,50,2,35000,45000,40000
M,29,2,30000,40000,35000
M,59,2,35000,45000,40000
M,55,2,35000,45000,40000
M,60,2,35000,45000,40000
M,62,2,35000,45000,40000
M,57,2,35000,45000,40000
M,43,2,35000,45000,40000
M,37,2,30000,40000,35000
